"ID","title","abstract","authors","date","category","doi","version","author_corresponding","author_corresponding_institution","link_page","link_pdf","license","published","data_avail"
65,"Molecular profiling of neonatal dried blood spots reveals changes in innate and adaptive immunity following fetal inflammatory response","The fetal inflammatory response (FIR) increases the risk of perinatal brain injury, particularly in extremely low gestational age newborns (ELGANs, < 28 weeks of gestation). One of the mechanisms contributing to such a risk is a postnatal intermittent or sustained systemic inflammation (ISSI) following FIR. The link between prenatal and postnatal systemic inflammation is supported by the presence of well-established inflammatory biomarkers in the umbilical cord and peripheral blood. However, the extent of molecular changes contributing to this association is unknown. Using RNA sequencing and mass spectrometry proteomics, we profiled the transcriptome and proteome of archived neonatal dried blood spot (DBS) specimens from 21 ELGANs. Comparing FIR-affected and unaffected ELGANs, we identified 783 gene and 27 protein expression changes of 50% magnitude or more, and an experiment-wide significance level below 5% false discovery rate. These expression changes confirm the robust postnatal activation of the innate immune system in FIR-affected ELGANs and reveal an impairment of their adaptive immunity. In turn, the altered pathways provide clues about the molecular mechanisms triggering ISSI after FIR, and the onset of perinatal brain injury.","Costa, D.; Bonet, N.; Sole, A.; Gonzalez De Aledo-Castillo, J. M.; Sabido, E.; Casals, F.; Rovira, C.; Nadal, A.; Marin, J. L.; Cobo, T.; Castelo, R.",20190709,"Genetic And Genomic Medicine","10.1101/19000109",2,"Robert Castelo","Department of Experimental and Health Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain; Research Programme on Biomedical Informatics, Institut Hospita","https://www.medrxiv.org/content/10.1101/19000109v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000109v2.full.pdf","cc_by_nc",NA,"The transcriptomics and clinical data reported in this paper are available through the European Genome-phenome Archive (EGA) under accession number EGAS00001003635. The mass spectrometry proteomics data are available through the PRIDE repository under accession number PXD011626."
5,"Prospective and External Evaluation of a Machine Learning Model to Predict In-Hospital Mortality","The ability to accurately predict in-hospital mortality for patients at the time of admission could improve clinical and operational decision-making and outcomes. Few machine learning models have been developed to predict in-hospital death that are both broadly applicable to all adult patients across a health system and readily implementable, and, to the best of our knowledge, none have been implemented, evaluated prospectively, or externally validated. The primary objective of this study was to prospectively and externally validate a machine learning model that predicts in-hospital mortality for all adult patients at the time of hospital admission. Model performance was quantified using the area under the receiver operating characteristic curve (AUROC) and area under the precision recall curve (AUPRC). Secondary objectives were to design the model using commonly available EHR data and accessible computational methods. A total of 75,247 hospital admissions (median [IQR] age 59.5 [29.0] years; male [45.9%]) were included in the study. The in-hospital mortality rates for the training validation, retrospective validations at Hospitals A, B, and C, and prospective validation cohorts, respectively, were 3.0%, 2.7%, 1.8%, 2.1%, and 1.6%. The area under the receiver operating characteristic curves (AUROCs), respectively, were 0.87 (0.83-0.89), 0.85 (0.83-0.87), 0.89 (0.86-0.92), 0.84 (0.80-0.89), and 0.86 (0.83-0.90). The area under the precision recall curves (AUPRCs), respectively, were 0.29 (0.25-0.37), 0.17 (0.13-0.22), 0.22 (0.14-0.31), 0.13 (0.08-0.21), and 0.14 (0.09-0.21). The results demonstrated accurate prediction of in-hospital mortality for adult patients at the time of admission. The data elements, methods, and patient selection make the model implementable at a system-level.","Nathan Brajer; Brian Cozzi; Michael Gao; Mike Revoir; Marshall Nichols; Joseph Futoma; Jonathan Bae; Noppon Setji; Suresh Balu; Adrian Hernandez; Mark Sendak",20190625,"Health Systems And Quality Improvement","10.1101/19000133",1,"Nathan Brajer","Duke University School of Medicine","https://www.medrxiv.org/content/10.1101/19000133v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000133v1.full.pdf","cc_by_nc_nd",NA,"This study used electronic health record data from Duke University Health System. The study was approved by the Duke University Health System Institutional Review Board, which waived the need for informed consent for the use of identifiable patient data."
14,"Gait differences in patients with multiple sclerosis who have low and high levels of disability.","Background: Multiple Sclerosis (MS) often results in gait impairment and disability. Objective: To investigate differences in spatiotemporal gait characteristics of people with MS who have low versus high levels of disability. Between trial and inter-limb consistency and the association of gait variables with level of disability were also investigated. Methods: Participants with MS who had either low-disability [n=7; 3 females; EDSS mean: 2.7{+/-}0.5, range 2.0-4.5; BMI=26.9{+/-}6.6] or high-disability [n=11; 6 females; EDSS mean: 2.7{+/-}0.5, range 6.0-6.5; BMI=27.8{+/-}1.5) performed 2 trials of self-selected walking on an instrumented walkway. Differences in group, limb, and group by limb interactions were assessed using analysis of variance, independent-measures t-tests, and Cohen's d effect sizes (ES). Between-trial consistency of gait were assessed with intra-class correlation coefficients (2, k). Results: Participants in the high disability group had increased step time (ES=0.8), cycle time (ES=0.8), and ambulation time (ES=1.2) while taking shorter strides (ES=0.9) and more steps at a slower rate (ES=1.1). The high disability group demonstrated less between-trial consistency for 69% of gait variables when compared to the low disability group. Conclusion: People with MS who have high levels of disability walk differently and with less consistency than those with lower levels of disability. Key Words: walking, motor disorders, coordination impairment, central nervous system, patient outcome assessment","John J Fraser; Jeannie Stephensen",20190625,"Rehabilitation Medicine And Physical Therapy","10.1101/19000166",1,"John J Fraser","Physical Therapy Program, Department of Biology, The College of Staten Island City University of New York, Staten Island, NY","https://www.medrxiv.org/content/10.1101/19000166v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000166v1.full.pdf","cc0",NA,"Data will be provided upon request."
11,"Histopathologist Features Predictive of Diagnostic Concordance at Expert Level Amongst a Large International Sample of Pathologists Diagnosing Barrett's Dysplasia Using Digital Pathology","Objective: Guidelines recommend expert pathology review of Barrett's oesophagus (BO) biopsies that reveal dysplasia, but there are no evidence-based standards to corroborate expert reviewer status. We investigated BO concordance rates and pathologist features predictive of diagnostic discordance amongst a large international cohort of gastrointestinal pathologists to develop a quantitative model of BO expert review. Design: Pathologists (n=55) from over 20 countries assessed 55 digitised BO biopsies from across the diagnostic spectrum, before and after viewing matched p53 immunohistochemistry. Extensive demographic and clinical experience data were obtained via online questionnaire. We calculated discordance rates and applied multivariate regression analyses to identify predictors of concordance. Results: We recorded over 6,000 individual case diagnoses. Of 2,805 H&E diagnoses, we found excellent concordance (>70%) for non-dysplastic Barrett's oesophagus (NDBO) and high-grade dysplasia (HGD), and intermediate concordance for low-grade dysplasia (LGD, 42%) and indefinite for dysplasia (IND, 23%). Major diagnostic errors (i.e. NDBO overinterpreted as LGD/HGD or vice versa) were found in 248 diagnoses (8.8%), which reduced to 8.3% after viewing p53 labelled slides. At least 5 years of professional experience was protective against major diagnostic error for H&E slide review (OR 0.48, 95%CI 0.31-0.74). Working in a district general hospital was associated with increased odds of major diagnostic error (OR 1.76, 95%CI 1.15-2.69), however this was neutralised when pathologists viewed p53 labelled slides, suggesting a beneficial impact of p53 immunohistochemistry for this group. Conclusion: We have developed an evidence-based quantitative model of BO histopathology diagnosis at expert consensus level that will inform guideline development.","Myrtle J Van Der Wel; Helen G Coleman; Jacques Jghm Bergman; Marnix Jansen; Sybren L Meijer",20190625,"Oncology","10.1101/19000174",1,"Marnix Jansen","UCL Cancer Institute","https://www.medrxiv.org/content/10.1101/19000174v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000174v1.full.pdf","cc_no",NA,"All primary data will be made available upon request"
29,"Cost-Sensitive Machine Learning Classification for Mass Tuberculosis Screening","Active screening for Tuberculosis (TB) is needed to optimize detection and treatment. However, current algorithms for verbal screening perform poorly, causing misclassification that leads to missed cases and unnecessary and costly laboratory tests for false positives. We investigated the role of machine learning to improve the predefined one-size-fits-all algorithm used for scoring the verbal screening questionnaire. We present a cost-sensitive machine learning classification for mass tuberculosis screening. We compared score-based classification defined by clinicians to machine learning classification such as SVM-RBF, logistic regression, and XGBoost. We restricted our analyses to data from adults, the population most affected by TB, and investigated the difference between untuned and unweighted classifiers to the cost-sensitive ones. Predictions were compared with the corresponding GeneXpert MTB/Rif results. After adjusting the weight of the positive class to 40 for XGBoost, we achieved 96.64% sensitivity and 35.06% specificity. As such, sensitivity of our identifier increased by 1.26% while specificity increased by 13.19% in absolute value compared to the traditional score-based method defined by our clinicians. Our approach further demonstrated that only 2000 data points were sufficient to enable the model to converge. Our results indicate that even with limited data we can actually devise a better method to identify TB suspects from verbal screening. This approach may be a stepping stone towards more effective TB case identification, especially in primary health centres, and foster better detection and control of TB.","Septiandri, A. A.; Aditiawarman, A.; Tjiong, R.; Burhan, E.; Shankar, A. H.",20190628,"Health Informatics","10.1101/19000190",1,"Ali Akbar Septiandri","Inovasi Sehat Indonesia","https://www.medrxiv.org/content/10.1101/19000190v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000190v1.full.pdf","cc_by_nc_nd",NA,"Not available for public"
101,"Optimising the use of molecular tools for the diagnosis of yaws","Introduction Yaws is a neglected tropical disease and results in lesions of skin, soft tissues and bones. PCR plays an important part in surveillance. Methods Children suspected to have yaws were enrolled. From the largest lesion paired swabs were collected; one into transport medium and one as a dry swab. In children with multiple lesions we collected additional swabs from up to four subsequent lesions. Swabs in transport medium were maintained in a cold-chain whilst dry swabs were stored at ambient temperature. Swabs were tested by PCR for Treponema pallidum and Haemophilus ducreyi. Results Of 55 individuals, 10 (18%) had at least 1 positive PCR for T. pallidum and 12 (22%) had at least 1 positive result for H. ducreyi. Concordance was 100% between swabs in transport medium and dry swabs. One patient had PCR-confirmed yaws on the swab of a third lesion when both the first and second lesions were PCR-negative. Discussion Storing swabs in transport medium and transporting in a cold chain did not improve yield, however detection of T. pallidum is increased by swabbing additional lesions. As the target for yaws is eradication approaches to sample collection need revisiting to ensure cases are not missed.","Munson, M.; Cresswell, B.; Kondobala, K.; Gainwu, B.; Lomotey, R. D.; Oppong, P.; Agyeman, F. O.; Kotye, N.; Diwura, M.; Ako, E. P.; Simpson, S. V.; Addo, K. K.; Pickering, H.; Handley, R.; Houghton, J.; Kwakye, C.; Marks, M.",20190715,"Infectious Diseases","10.1101/19000232",3,"Michael Marks","London School of Hygiene and Tropical Medicine","https://www.medrxiv.org/content/10.1101/19000232v3?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000232v3.full.pdf","cc_by","10.1093/trstmh/trz083","Data is available in the supplementary file"
497,"The prevalence of scabies, pyoderma and other communicable dermatoses in the Bijagos Archipelago, Guinea-Bissau","Background: Skin diseases represent a significant public health problem in most low and middle income settings. Nevertheless, there is a relative paucity of high-quality epidemiological data on the prevalence of these conditions. Materials/methods: We conducted two cross-sectional population-based skin-surveys of children (6 months to 9 years old) in the Bijagos Archipelago of Guinea-Bissau during the dry season (February-March 2018) and the wet season (June-July 2018). Following a period of training, a nurse performed a standardised examination for communicable dermatoses for each participant. We calculated the prevalence of each skin condition and investigated demographic associations. Results: 1062 children were enrolled in the dry season survey of whom 318 (29.9%) had at least one skin diseases. The most common diagnosis was tinea capitis (154/1062, 14.5% - 95% CI 12.5-16.8%) followed by tinea corporis (84/1062, 7.9% - 95% CI 6.4-9.7%), pyoderma (82/1062, 7.7% - 95% CI 6.2-9.5%) and scabies (56/1062. 5.2% - 95%CI 4.0 - 6.8%). 320 children were enrolled in the wet season survey of whom 121 (37.8%) had at least one skin problem. Tinea capitis remained the most common diagnosis (79/320, 24.7% - 95% CI 20.1 - 29.9%), followed by pyoderma (38/320, 11.9% - 95% CI 8.6-16.1%), tinea corporis (23/320, 7.2% - 95% 4.7 - 10.7%) and scabies (6/320, 1.9% - 95% CI 0.8-4.2%). Conclusions: Our study, which utilised robust population-based cluster random sampling methodology, demonstrates the substantial disease burden caused by common communicable dermatoses in this setting. Given these findings, there is a need to consider common dermatoses as part of Universal Health Coverage to deliver skin-health for all.","Marks, M.; Sammut, T.; Cabral, M. G.; Da Silva, E. T.; Goncalves, A.; Rodrigues, A.; Manjuba, C.; Nakutum, J.; Ca, J.; D Alessandro, U.; Achan, J.; Logan, J.; Bailey, R.; Mabey, D.; Last, A.; Walker, S. L.",20191010,"Infectious Diseases","10.1101/19000257",3,"Michael Marks","London School of Hygiene and Tropical Medicine","https://www.medrxiv.org/content/10.1101/19000257v3?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000257v3.full.pdf","cc_by","10.1371/journal.pntd.0007820","Data is available in the supplementary data file."
8,"Perception of whole-body motion during balance perturbations is impaired in Parkinson's disease and is associated with balance impairment","Background: In addition to motor deficits, Parkinson's disease (PD) may cause perceptual impairments. The role of perceptual impairments in sensorimotor function is unclear, and has typically been studied in single-joint motions. Research Question: We hypothesized that perception of whole-body motion is impaired in PD and contributes to balance impairments. We tested 1) whether directional acuity to whole body perturbations during standing was worse in people with PD compared to neurotypical older adults (NOA), and 2) whether balance ability, as assessed by the MiniBESTest, was associated with poor directional acuity in either group. Methods: Participants were exposed to pairs of support-surface translation perturbations in a two-alternative forced choice testing paradigm developed previously in a young healthy population. The first perturbation of each pair was directly backward and the second deviated to the left or right (1 degree-44 degrees). Participants judged and reported whether the perturbations in each pair were in the ""same"" or ""different"" direction. This information was used to calculate directional acuity thresholds corresponding to ""just-noticeable differences"" in perturbation direction. Linear mixed models determined associations between directional thresholds and clinical variables including MDS UPDRS-III score, age, and MiniBESTest score. Results: 20 PD (64+/-7 y, 12 male, >=12 hours since last intake of antiparkinsonian medications) and 12 NOA (64+/-8, 6 male) were assessed. Directional thresholds were higher (worse) among PD participants (17.6+/-5.9 degrees vs. 12.8+/-3.3 degrees, P<0.01). Linear mixed models further showed that higher thresholds were associated with MDS UPDRS-III score (P<0.01), and were associated with poorer balance ability among PD participants (P<0.01), but not among NOA participants (P=0.40). Significance: Perception of whole-body motion is impaired in PD and may contribute to impaired balance and falls.","Sistania M Bong; Jl Mckay; Stewart A Factor; Lena H Ting",20190625,"Neurology","10.1101/19000265",1,"Lena H Ting","Emory University","https://www.medrxiv.org/content/10.1101/19000265v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000265v1.full.pdf","cc_by","10.1016/j.gaitpost.2019.10.029","Data will be provided as supplemental information with the manuscript upon journal acceptance."
2,"Crohns disease and ulcerative colitis patient perspectives on clinical trials and participation","Background: Clinical trial recruitment is often the rate-limiting step in the development of new treatments reaching patients across all disease states. With more than 1500 currently available clinical trials for inflammatory bowel diseases (IBD) patients, it is important to understand patient perceptions of clinical trial participation to improve recruitment and retention. This study aimed to examine the specific challenges and barriers that might be reducing IBD patient enrollment and potential methods to overcome these barriers. Methods: Five in-person patient focus groups were conducted from February through May 2016 using two facilitation guides. Participants self-reported a diagnosis of Crohns disease or ulcerative colitis. Results: The five focus groups included a total of 34 participants. Participants discussed several barriers, including fears, disease severity at trial onset, potential adverse effects, time constraints, and the influence of both their primary IBD provider and support network. Methods to improve participation included better communication to prospective patients, reduced length of trial and time commitment, lower placebo rates, the option of open label extension, and support of the patient primary IBD provider. Conclusions: This is the first study to examine patient perceptions for IBD clinical trial enrollment, including barriers to participation and methods to improve participation. Fear and misunderstanding of clinical trials, engagement with providers, limiting time demands, and limiting the impact on work and family were found to be barriers to participation. Creative solutions to these problems could lead to greater participation in trials and more rapid advancement of new therapies to clinical approval and use.","Orna G Ehrlich; James Testaverde; Caren Heller; Stuart Daman; Annick Anderson; Peter D.r. Higgins",20190625,"Gastroenterology","10.1101/19000273",1,"Orna G Ehrlich","Crohn\'s & Colitis Foundation","https://www.medrxiv.org/content/10.1101/19000273v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000273v1.full.pdf","cc_by_nc_nd",NA,"Data sharing not applicable to this article as no datasets were generated or analysed during the current study."
686,"LncRNA and predictive model for improving the diagnosis of clinically diagnosed pulmonary tuberculosis","Background: Clinically diagnosed pulmonary tuberculosis (PTB) patients lack Mycobacterium tuberculosis (MTB) microbiologic evidence, and misdiagnosis or delayed diagnosis often occurs as a consequence. We investigated the potential of lncRNAs and corresponding predictive models to diagnose these patients. Methods: We enrolled 1372 subjects, including clinically diagnosed PTB patients, non-TB disease controls and healthy controls, in three cohorts (Screening, Selection and Validation). Candidate lncRNAs differentially expressed in blood samples of the PTB and healthy control groups were identified by microarray and qRT-PCR in the Screening Cohort. Logistic regression models were developed using lncRNAs and/or electronic health records (EHRs) from clinically diagnosed PTB patients and non-TB disease controls in the Selection Cohort. These models were evaluated by AUC and decision curve analysis, and the optimal model was presented as a Web-based nomogram, which was evaluated in the Validation Cohort. The biological function of lncRNAs was interrogated using ELISA, lactate dehydrogenase release analysis and flow cytometry. Results: Three differentially expressed lncRNAs (ENST00000497872, n333737, n335265) were identified. The optimal model (i.e., nomogram) incorporated these three lncRNAs and six EHR variables (age, hemoglobin, weight loss, low-grade fever, CT calcification and TB-IGRA). The nomogram showed an AUC of 0.89, sensitivity of 0.86 and specificity of 0.82 in the Validation Cohort, which demonstrated better discrimination and clinical net benefit than the EHR model. ENST00000497872 may regulate inflammatory cytokine production, cell death and apoptosis during MTB infection. Conclusion: LncRNAs and the user-friendly nomogram could facilitate the early identification of PTB cases among suspected patients with negative MTB microbiologic evidence.","Hu, X.; Chen, H.; Liao, S.; Bai, H.; Gupta, S.; Zhou, Y.; Zhou, J.; Jiao, L.; Wu, L.; Wang, M.; Chen, X.; Zhou, Y.; Lu, X.; Hu, T. Y.; Zhang, Z.; Ying, B.",20191105,"Infectious Diseases","10.1101/19000281",2,"Binwu Ying","Department of Laboratory Medicine, West China Hospital, Sichuan University","https://www.medrxiv.org/content/10.1101/19000281v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000281v2.full.pdf","cc_by_nc_nd",NA,"The data used to support the findings of this study are available from the corresponding author upon request."
