"ID","title","abstract","authors","date","category","doi","version","author_corresponding","author_corresponding_institution","link_page","link_pdf","license","published","data_avail","decision"
3,"Genome-wide postnatal changes in immunity following fetal inflammatory response","The fetal inflammatory response (FIR) increases the risk of perinatal brain injury, particularly in extremely low gestational age newborns (ELGANs, < 28 weeks of gestation). One of the mechanisms contributing to such a risk is a postnatal intermittent or sustained systemic inflammation (ISSI) following FIR. The link between prenatal and postnatal systemic inflammation is supported by the presence of well-established inflammatory biomarkers in the umbilical cord and peripheral blood. However, the extent of molecular changes contributing to this association is unknown. Using RNA sequencing and mass spectrometry proteomics, we profiled the transcriptome and proteome of archived neonatal dried blood spot (DBS) specimens from 21 ELGANs. Comparing FIR-affected and unaffected ELGANs, we identified 783 gene and 27 protein expression changes of 50% magnitude or more, and an experiment-wide significance level below 5% false discovery rate. These expression changes confirm the robust postnatal activation of the innate immune system in FIR-affected ELGANs and reveal an impairment of their adaptive immunity. In turn, the altered pathways provide clues about the molecular mechanisms triggering ISSI after FIR, and the onset of perinatal brain injury.","Costa, D.; Bonet, N.; Sole, A.; Gonzalez De Aledo-Castillo, J. M.; Sabido, E.; Casals, F.; Rovira, C.; Nadal, A.; Marin, J. L.; Cobo, T.; Castelo, R.",20200316,"Genetic And Genomic Medicine","10.1101/19000109",3,"Robert Castelo","Department of Experimental and Health Sciences, Universitat Pompeu Fabra (UPF), Barcelona, Spain; Research Programme on Biomedical Informatics, Institut Hospita","https://www.medrxiv.org/content/10.1101/19000109v3?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000109v3.full.pdf","cc_by",NA,"The transcriptomics and clinical data reported in this paper are available through the European Genome-phenome Archive (EGA) under accession number EGAS00001003635. The mass spectrometry proteomics data are available through the PRIDE repository under accession number PXD011626.",7
4,"Crohns disease and ulcerative colitis patient perspectives on clinical trials and participation","Background: Clinical trial recruitment is often the rate-limiting step in the development of new treatments reaching patients across all disease states. With more than 1500 currently available clinical trials for inflammatory bowel diseases (IBD) patients, it is important to understand patient perceptions of clinical trial participation to improve recruitment and retention. This study aimed to examine the specific challenges and barriers that might be reducing IBD patient enrollment and potential methods to overcome these barriers. Methods: Five in-person patient focus groups were conducted from February through May 2016 using two facilitation guides. Participants self-reported a diagnosis of Crohns disease or ulcerative colitis. Results: The five focus groups included a total of 34 participants. Participants discussed several barriers, including fears, disease severity at trial onset, potential adverse effects, time constraints, and the influence of both their primary IBD provider and support network. Methods to improve participation included better communication to prospective patients, reduced length of trial and time commitment, lower placebo rates, the option of open label extension, and support of the patient primary IBD provider. Conclusions: This is the first study to examine patient perceptions for IBD clinical trial enrollment, including barriers to participation and methods to improve participation. Fear and misunderstanding of clinical trials, engagement with providers, limiting time demands, and limiting the impact on work and family were found to be barriers to participation. Creative solutions to these problems could lead to greater participation in trials and more rapid advancement of new therapies to clinical approval and use.","Orna G Ehrlich; James Testaverde; Caren Heller; Stuart Daman; Annick Anderson; Peter D.r. Higgins",20190625,"Gastroenterology","10.1101/19000273",1,"Orna G Ehrlich","Crohn\'s & Colitis Foundation","https://www.medrxiv.org/content/10.1101/19000273v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000273v1.full.pdf","cc_by_nc_nd",NA,"Data sharing not applicable to this article as no datasets were generated or analysed during the current study.",0
5,"Updating Insights into Rosiglitazone and Cardiovascular Risk through Shared Data: Individual Patient-and-Summary-Level Meta-Analyses","Objective: To conduct a systematic review and meta-analysis of the effects of rosiglitazone therapy on cardiovascular risk and mortality using multiple data sources and varying analytical approaches. Design: Systematic review and meta-analysis of randomized controlled trials. Data sources: GlaxoSmithKline's (GSK) Clinical Study Data Request (CSDR) and Study Register platforms, MEDLINE, PubMed, Embase, Web of Science, Cochrane Central Registry of Controlled Trials, Scopus, and ClinicalTrials.gov from inception to January 2019. Study selection criteria: Randomized, controlled, phase II-IV clinical trials comparing rosiglitazone with any control for at least 24 weeks in adults. Data extraction and synthesis: For analyses of trials for which individual patient-level data (IPD) were available, we examined a composite of the following events as our primary outcome: acute myocardial infarction, heart failure, cardiovascular-related deaths, and non-cardiovascular-related deaths. As secondary analyses, these four events were examined independently. When also including trials for which IPD were not available, we examined myocardial infarction and cardiovascular-related deaths, ascertained from summary-level data. Multiple meta-analyses were conducted, accounting for trials with zero events in one or all arms with two different continuity corrections (i.e., 0.5 constant and treatment arm comparator continuity correction), to calculate odds ratios and risk ratios with 95% confidence intervals. Results: There were 33 eligible trials for which IPD were available (21156 participants) through GSK's CSDR. We also identified 103 additional trials for which IPD were not available from which we ascertained myocardial infarctions (23683 patients) and 103 trials for cardiovascular-related deaths (22772 patients). Among trials for which IPD were available, we identified a greater number of myocardial infarctions and fewer cardiovascular-related deaths reported in the IPD as compared to the summary-level data. When limited to trials for which IPD were available and accounting for trials with zero-events in only one arm using a constant continuity correction of 0.5, patients treated with rosiglitazone had a 39% increased risk of a composite event compared with controls (Mantel-Haenszel odds ratio 1.39, 95% CI 1.15 to 1.68). When examined separately, the odds ratios for myocardial infarction, heart failure, cardiovascular-related death, and non-cardiovascular-related death were 1.25 (0.99 to 1.60), 1.60 (1.20 to 2.14), 1.18 (0.64 to 2.17), and 1.13 (0.58 to 2.20), respectively. When all trials for which IPD were and were not available were combined for myocardial infarction and cardiovascular-related deaths, the odds ratios were attenuated (1.13 (0.92 to 1.38) and 1.10 (0.73 to 1.65), respectively). Effect estimates and 95% confidence intervals were broadly consistent when analyses were repeated including trials with zero events across all arms using constant continuity corrections of 0.5 or treatment arm continuity corrections. Conclusions: Results of this comprehensive meta-analysis aggregating a multitude of trials and analyzed using a variety of statistical techniques suggest that rosiglitazone is consistently associated with an increased cardiovascular risk, likely driven by heart failure events, whose interpretation is complicated by varying magnitudes of myocardial infarction risk that were attenuated through aggregation of summary-level data in addition to IPD.","Joshua D Wallach; Kun Wang; Audrey D Zhang; Deanna Chang; Holly K Grossetta Nardini; Haiqun Lin; Michael B Bracken; Mayur Desai; Harlan Krumholz; Joseph S. Ross",20190625,"Cardiovascular Medicine","10.1101/19000463",1,"Joshua D Wallach","Yale School of Public Health","https://www.medrxiv.org/content/10.1101/19000463v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000463v1.full.pdf","cc_by_nc","10.1136/bmj.l7078","The dataset will be made available via a publicly accessible repository on journal publication: https://osf.io/4yvp2/. https://osf.io/4yvp2/.",3
6,"Predicting epileptic seizures using nonnegative matrix factorization","This paper presents a procedure for the patient-specific prediction of epileptic seizures. To this end, a combination of nonnegative matrix factorization (NMF) and smooth basis functions with robust regression is applied to power spectra of intracranial electroencephalographic (iEEG) signals. The resulting time and frequency components capture the dominant information from power spectra, while removing outliers and noise. This makes it possible to detect structure in preictal states, which is used for classification. Linear support vector machines (SVM) with L1 regularization are used to select and weigh the contributions from different number of not equally informative channels among patients. Due to class imbalance in data, synthetic minority over-sampling technique (SMOTE) is applied. The resulting method yields a computationally and conceptually simple, interpretable model of EEG signals of preictal and interictal states, which shows a good performance for the task of seizure prediction.","Olivera Stojanovic; Gordon Pipa",20190625,"Health Informatics","10.1101/19000430",1,"Olivera Stojanovic","Institute of Cognitive Science, University of Osnabrueck","https://www.medrxiv.org/content/10.1101/19000430v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000430v1.full.pdf","cc_by","10.1371/journal.pone.0228025","The data used in this project is a part of the EPILEPSIAE dataset, which is not publicly available. For this reason, there are no specific paths or identification numbers in the code repository which is publicly available. https://github.com/ostojanovic/seizure_prediction",4
7,"Prospective and External Evaluation of a Machine Learning Model to Predict In-Hospital Mortality","The ability to accurately predict in-hospital mortality for patients at the time of admission could improve clinical and operational decision-making and outcomes. Few machine learning models have been developed to predict in-hospital death that are both broadly applicable to all adult patients across a health system and readily implementable, and, to the best of our knowledge, none have been implemented, evaluated prospectively, or externally validated. The primary objective of this study was to prospectively and externally validate a machine learning model that predicts in-hospital mortality for all adult patients at the time of hospital admission. Model performance was quantified using the area under the receiver operating characteristic curve (AUROC) and area under the precision recall curve (AUPRC). Secondary objectives were to design the model using commonly available EHR data and accessible computational methods. A total of 75,247 hospital admissions (median [IQR] age 59.5 [29.0] years; male [45.9%]) were included in the study. The in-hospital mortality rates for the training validation, retrospective validations at Hospitals A, B, and C, and prospective validation cohorts, respectively, were 3.0%, 2.7%, 1.8%, 2.1%, and 1.6%. The area under the receiver operating characteristic curves (AUROCs), respectively, were 0.87 (0.83-0.89), 0.85 (0.83-0.87), 0.89 (0.86-0.92), 0.84 (0.80-0.89), and 0.86 (0.83-0.90). The area under the precision recall curves (AUPRCs), respectively, were 0.29 (0.25-0.37), 0.17 (0.13-0.22), 0.22 (0.14-0.31), 0.13 (0.08-0.21), and 0.14 (0.09-0.21). The results demonstrated accurate prediction of in-hospital mortality for adult patients at the time of admission. The data elements, methods, and patient selection make the model implementable at a system-level.","Nathan Brajer; Brian Cozzi; Michael Gao; Mike Revoir; Marshall Nichols; Joseph Futoma; Jonathan Bae; Noppon Setji; Suresh Balu; Adrian Hernandez; Mark Sendak",20190625,"Health Systems And Quality Improvement","10.1101/19000133",1,"Nathan Brajer","Duke University School of Medicine","https://www.medrxiv.org/content/10.1101/19000133v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000133v1.full.pdf","cc_by_nc_nd",NA,"This study used electronic health record data from Duke University Health System. The study was approved by the Duke University Health System Institutional Review Board, which waived the need for informed consent for the use of identifiable patient data.",4
9,"Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.","Objective To describe trends and geographical variation in methotrexate prescribing that breaches national safety recommendations; deaths from methotrexate poisoning; and associated litigation. Methods A retrospective cohort study of English NHS primary care prescribing data, complemented by information obtained through Freedom of Information (FOI) requests. The main outcome measures were: (1) variation in ratio of breaching / adherent prescribing, geographically and over time, between General Practices and Clinical Commissioning Groups; (2) description of responses to FOI requests. Results Out of 7349 NHS General Practices in England, 1689 practices prescribed both 2.5mg and 10mg tablets to individual patients in 2017, breaching national guidance. In April 2018, 697 practices (at the 90th centile and above) prescribed at least 14.3% of all methotrexate as 10mg tablets, breaching national guidance. The 66 practices at the 99th percentile and above gave at least 52.4% of all prescribed methotrexate in the form of 10 mg tablets. The prescribing of 10mg tablets has fallen over 7 years, with 10mg tablets as a proportion of all methotrexate tablets falling from 9.1% to 3.4%. 21 deaths caused by methotrexate poisoning have been reported from 1993-2017. Conclusions The prevalence of unsafe methotrexate prescribing has reduced but it remains common, with substantial variation between organisations. We recommend the NHS invests in better strategies around implementation of safety recommendations. 21 deaths have been attributed to methotrexate poisoning but with no further details easily available: the full coroners reports for these deaths should be reviewed to identify recurring themes.","Mackenna, B.; Curtis, H. J.; Walker, A. J.; Croker, R.; Bacon, S.; Goldacre, B.",20190702,"Health Systems And Quality Improvement","10.1101/19000919",2,"Ben Goldacre","University of Oxford","https://www.medrxiv.org/content/10.1101/19000919v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000919v2.full.pdf","cc_by",NA,"Data are available in a public, open access repository on Github https://github.com/ebmdatalab/Methotrexate/releases/tag/v1.0 and Figshare https://figshare.com/collections/Methotrexate/4542308/1 https://github.com/ebmdatalab/Methotrexate/releases/tag/v1.0 https://figshare.com/collections/Methotrexate/4542308/1",6
10,"18F-AV1451 PET imaging and white matter changes in progressive supranuclear palsy","Introduction: Progressive supranuclear palsy (PSP) is characterized by deposition of straight filament tau aggregates in the grey matter of deep nuclei and cerebellum. White matter changes are increasingly documented as a feature of degenerative parkinsonism. We therefore examined the relationship between tau pathology (assessed via 18F-AV1451 positron emission tomography) and white matter integrity (using diffusion tensor imaging, DTI) in PSP. Methods: Twenty-three people with clinically probable PSP-Richardson's syndrome (age 68.8 +/- 5.8 years, 39% female) and 23 controls underwent structural 3T brain MRI including DTI. Twenty-one patients also underwent 18F-AV145 PET imaging. DTI group comparisons were performed using Fractional Anisotropy (FA), Mean Diffusivity (MD) and Radial Diffusivity (RD). Voxel-wise white matter integrity was correlated with 18F-AV1451 binding in typical subcortical PSP regions of interest (i.e. putamen, pallidum, thalamus and midbrain). DTI and 18F-AV1451 imaging measures were correlated with clinical impairment. Results: Widespread DTI changes in PSP subjects relative to controls (family-wise error FWE p<0.01) were observed. In PSP, higher 18F-AV1451 binding correlated with reduced white matter integrity in the bilateral internal capsule, corona radiata, and superior longitudinal fasciculus (FWE p<0.05). Association between cognitive impairment (ACER score) and white matter deficits were found in the genu of corpus callosum and cingulum (p<0.005). Conclusion: This cross-sectional study demonstrates an association between in vivo proxy measures of tau pathology and white matter degeneration in PSP. Longitudinal studies and more specific PET probes for non-Alzheimer tauopathies are warranted to assess the complex interplay between microstructural changes and protein deposition in PSP.","Nicolas Nicastro; Patricia Vazquez Rodriguez; Maura Malpetti; W. Richard Bevan-Jones; P. Simon Jones; Luca Passamonti; Franklin I Aigbirhio; John T O'brien; James B Rowe",20190625,"Neurology","10.1101/19000596",1,"Nicolas Nicastro","University of Cambridge","https://www.medrxiv.org/content/10.1101/19000596v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000596v1.full.pdf","cc_by_nc_nd",NA,"data is available to researchers upon request",2
11,"Perception of whole-body motion during balance perturbations is impaired in Parkinson's disease and is associated with balance impairment","Background: In addition to motor deficits, Parkinson's disease (PD) may cause perceptual impairments. The role of perceptual impairments in sensorimotor function is unclear, and has typically been studied in single-joint motions. Research Question: We hypothesized that perception of whole-body motion is impaired in PD and contributes to balance impairments. We tested 1) whether directional acuity to whole body perturbations during standing was worse in people with PD compared to neurotypical older adults (NOA), and 2) whether balance ability, as assessed by the MiniBESTest, was associated with poor directional acuity in either group. Methods: Participants were exposed to pairs of support-surface translation perturbations in a two-alternative forced choice testing paradigm developed previously in a young healthy population. The first perturbation of each pair was directly backward and the second deviated to the left or right (1 degree-44 degrees). Participants judged and reported whether the perturbations in each pair were in the ""same"" or ""different"" direction. This information was used to calculate directional acuity thresholds corresponding to ""just-noticeable differences"" in perturbation direction. Linear mixed models determined associations between directional thresholds and clinical variables including MDS UPDRS-III score, age, and MiniBESTest score. Results: 20 PD (64+/-7 y, 12 male, >=12 hours since last intake of antiparkinsonian medications) and 12 NOA (64+/-8, 6 male) were assessed. Directional thresholds were higher (worse) among PD participants (17.6+/-5.9 degrees vs. 12.8+/-3.3 degrees, P<0.01). Linear mixed models further showed that higher thresholds were associated with MDS UPDRS-III score (P<0.01), and were associated with poorer balance ability among PD participants (P<0.01), but not among NOA participants (P=0.40). Significance: Perception of whole-body motion is impaired in PD and may contribute to impaired balance and falls.","Sistania M Bong; Jl Mckay; Stewart A Factor; Lena H Ting",20190625,"Neurology","10.1101/19000265",1,"Lena H Ting","Emory University","https://www.medrxiv.org/content/10.1101/19000265v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000265v1.full.pdf","cc_by","10.1016/j.gaitpost.2019.10.029","Data will be provided as supplemental information with the manuscript upon journal acceptance.",4
13,"Proximal and distal factors predicting timely initiation of breastfeeding in Ethiopia: a systematic review and meta-analysis","Background: In Ethiopia, the current coverage of timely initiation of breast feeding (TIBF) has fallen short of the National Health Sector Transformation Plan 2016-2020, National Nutrition Program 2016-2020 and WHO global target. This calls for the need to assess relevant proximal and distal factors that affect the rate of TIBF in Ethiopia. Objective: The aim of this meta-analysis was to investigate the association between TIBF and educational status, household income, marital status, media exposure, and parity in Ethiopia. Methods: Databases used were PubMed, EMBASE, Web of Science, SCOPUS, CINAHL and WHO Global health library, and key terms were searched using interactive searching syntax. It was also supplemented by manual searching. Observational studies published between September 2000 and March 2019 were included. The methodological quality of studies was examined using the Newcastle-Ottawa Scale (NOS) for cross-sectional studies. Data were extracted using the Joanna Briggs Institute (JBI) data extraction tool. To obtain the pooled odds ratio (OR), extracted data were fitted in a random-effects meta-analysis model. Statistical heterogeneity was quantified using Cochran Q test, tau2, and I2 statistics. Additional analysis conducted includes Jackknife sensitivity analysis, cumulative meta-analysis, and meta-regression analysis. Results: Out of 553 studies retrieved, 25 studies fulfilled our inclusion criteria. Almost all studies were conducted on mothers with newborn less than 23 months. Maternal educational status (OR = 1.82; p < 0.001; 95% CI = 1.35 - 2.45; I2 = 84.96%), paternal educational status (OR = 2.72; p = 0.001, 95% CI = 1.49 - 4.97 I2 = 62.50%), income (OR = 1.16; p = 0.002; 95% CI = 1.05 - 1.27; I2 = 0.00%), marital status (OR = 1.39; p = 0.001; 95% CI = 1.14 - 1.69; I2 = 9.17%) and parity (OR = 1.39; p = 0.01; 95% CI = 1.07 - 1.81; I2 = 74.43%) were found to be significantly associated with TIBF. We also observed a direct dose-response relationship of TIBF with educational status and income. Conclusions: Proximal and distal factors significantly predicting TIBF practice in Ethiopia, which needs integrated intervention by health professionals and healthcare policymakers. Health education, counselling and peer education targeting parents at antenatal and postnatal periods are needed. It is also relevant to improve the economic power of women and promote gender equality.","Habtewold, T. D.; Mohammed, S. H.; Endalamaw, A.; Mulugeta, H.; Dessie, G.; Berhe, D. F.; Birhanu, M. M.; Islam, M. A.; Teferra, A. A.; Asefa, N. G.; Alemu, S. M.",20190708,"Nutrition","10.1101/19000497",2,"Tesfa Dejenie Habtewold","Department of Epidemiology, University Medical Centre Groningen, University of Groningen, Groningen, The Netherlands","https://www.medrxiv.org/content/10.1101/19000497v2?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000497v2.full.pdf","cc_by_nc_nd",NA,"All data generated or analyzed in this study are included in the article and its supplementary files.",5
14,"Transfer of Statistical Innovations of the 1990s-2000s in Oncology to the Biomedical Literature","Introduction: Innovations in the fields of clinical studies require time to generate and disseminate new knowledge. We aimed to specifically explore lag times between the introduction and widespread use of innovative statistical methods in oncology using the competing risks and phase I model-based clinical trials settings as examples. Methods: First, we defined a set of closed articles for each setting based on two princeps papers (Gray, Annals of Statistics 1998 for the competing risks setting and O Quigley et al., Biometrics 1990 for the phase I setting). Secondly, we retrieved from the web of science all citations of the papers included in these sets. Each journal was classified as applied, semi-applied or methodological. Results: A total of 6,727 citations for the competing risks setting and 2,639 citations for the phase I setting were found. Time to reach 25 citations was 6.2 years for the paper from Gray and 4.5 years for the Fine and Gray paper, while it ranged from 3.4 years up to at least 20.1 years and not reached for 6 papers from the competing risks setting. The vast majority (91%) of the citing papers for the competing risks setting originated from applied journals. In contrast, less than half (44%) of the citing papers for the phase I setting were published in applied journals. Conclusion: Statistical innovations in the competing risks setting have been widely diffused in the medical literature unlike the model-based designs for phase I trials, which are still seldom used 30 years after publication.","Alexandre Vivot; Vincent Levy; Sylvie Chevret",20190625,"Oncology","10.1101/19000638",1,"Alexandre Vivot","APHP","https://www.medrxiv.org/content/10.1101/19000638v1?versioned=TRUE","https://www.medrxiv.org/content/10.1101/19000638v1.full.pdf","cc_no",NA,"Data used in this study are publicly available data. The datasets generated and analyzed during the current study are available from the corresponding author on reasonable request.",2
